"id","park_name","address","type","fees","lights","indoor","courts"
363,"Veterans Memorial Park","101 E 28th St, Long Beach","Public","No","Yes","No","2"
364,"La Mirada Park","13800 Adelfa Dr, La Mirada","Public","No","No","No","12"
366,"Balboa Tennis Center","17015 Burbank Blvd, Encino","Public","Yes","Yes","No","16"
367,"Hickory Park","2850 232nd St, Torrance","Public","No","Yes","No","1"
368,"Veterans Memorial Park - Longbeach","101 E 28th St, Long Beach","Public","No","Yes","No","1"
370,"Lake View Terrace Recreation","11075 Foothill Blvd, Los Angeles","Public","No","Yes","No","2"
371,"Alta Vista Park","801 Camino Real, Redondo Beach","Public","Yes","Yes","No","8"
372,"Sur La Brea Park","23610 Cabrillo Ave, Torrance","Public","No","Yes","No","2"
374,"Sepulveda Recreation Center","8825 Kester Ave, Panorama City","Public","No","Yes","No","4"
382,"Lomita Recreation Center","24428 Eshelman Avenue, Lomita","Public","No","Yes","No","2"
383,"Cerritos Regional Park","195th St, Cerritos","Public","No","No","No","14"
385,"Del Norte Park","1500 W Rowland Ave, West Covina","Public","No","Yes","No","4"
391,"Irwindale Park Juarez St","15818 Juarez St, Irwindale","Public","No","Yes","No","1"
394,"Banning Recreation Center","1331 Eubank Ave, Wilmington","Public","No","Yes","No","4"
395,"El Retiro Park","126 Vista del Parque, Torrance","Public","No","Yes","No","2"
397,"Irwindale Park","5050 Irwindale Ave, Irwindale","Public","No","Yes","No","2"
398,"Walteria Park","3855 242nd St, Torrance","Public","No","No","No","1"
401,"Central Park","7821 Walker St, La Palma","Public","No","Yes","No","2"
402,"George Bellis Park","7171 8th St, Buena Park","Public","Yes","No","No","4"
403,"Richie Valens Park","10736 Laurel Canyon Blvd, Pacoima","Public","No","Yes","No","2"
404,"Ralph B Clark Park","8800 Rosecrans Avenue, Buena Park","Public","No","Yes","No","4"
406,"Encanto Park","751 Encanto Pkwy, Duarte","Public","No","No","No","2"
408,"Schabarum Park","17250 E Colima Rd, Rowland Heights","Public","No","No","No","2"
414,"El Dorado Park Tennis Center","2800 Studebake, Long Beach","Public","Yes","Yes","No","15"
417,"South Bay Tennis Center","25924 Rolling Hills Road, Torrance","Public","Yes","Yes","No","8"
419,"Reseda Park","18411 Victory Blvd, Reseda","Public","No","Yes","No","4"
422,"Drake Park","951 Maine Ave, Long Beach","Public","No","Yes","No","1"
430,"Cypress Library","5331 Orange Ave, Cypress","Public","No","Yes","No","6"
433,"Memorial ParkW ","4th Street, Azusa","Public","No","Yes","No","3"
434,"Dearborn Park","17141 Nordhoff St, Los Angeles","Public","No","Yes","No","2"
435,"Billie Jean King Tennis Center","1040 Park Avenue, Long Beach","Public","Yes","Yes","No","8"
437,"Pioneer Park","828 Harding Ave, San Fernando","Public","No","No","No","2"
438,"Rossmoor Park","3232 Hedwig Rd, Los Alamitos","Public","No","Yes","No","4"
439,"Northside ParkW ","12th St, Azusa","Public","No","Yes","No","3"
440,"Shadow Oak Park","2121 E Shadow Oak Dr, West Covina","Public","No","No","No","2"
442,"Las Palmas Park","505 S Huntington Street, San Fernando","Public","No","No","No","1"
443,"Laurel Park","3191 Katella Ave, Los Alamitos","Public","No","Yes","No","4"
444,"Pathfinder Park","18150 Pathfinder Rd, Rowland Heights","Public","No","Yes","No","3"
451,"Boisseranc Park","7520 Dale St, Anaheim","Public","No","Yes","No","4"
453,"Woodcrest Park","1695 Cedarcrest Dr, Brea","Public","No","Yes","No","1"
454,"Granada Hills Recreation Center","16730 Chatsworth St, Granada Hills","Public","No","Yes","No","4"
458,"Marina Vista Park","5355 Eliot St, Long Beach","Public","No","No","No","2"
460,"College Estates Park","808 Stevely Ave, Long Beach","Public","No","No","No","1"
462,"San Juan Park","2920 San Juan Drive, Fullerton","Public","No","No","No","1"
464,"El Cariso Regional Park","13100 Hubbard St, Sylmar","Public","No","Yes","No","11"
465,"Founder's Park","777 Skyler Way, Brea","Public","No","Yes","No","2"
469,"Sylmar Recreation Center","13116 Fellows Ave, Los Angeles","Public","No","Yes","No","2"
470,"Fullerton Tennis Center","110 E Valencia Mesa Dr, Fullerton","Public","Yes","Yes","No","11"
473,"Runnymede Recreation Center","20200 Runnymede St, Los Angeles","Public","No","No","No","4"
476,"Northridge Recreation Center","9999 Etiwanda Ave, Los Angeles","Public","No","Yes","No","5"
479,"Seal Beach Tennis Center","3900 Lampson Ave, Seal Beach","Public","Yes","Yes","No","16"
481,"Stanton Tennis Center","10678 Western Ave, Stanton","Public","No","Yes","No","6"
485,"Quimby Park","7008 Desoto Ave, Los Angeles","Public","No","No","No","2"
487,"Fullerton College","321 E Chapman Ave, Fullerton","Public","No","No","No","12"
493,"Eddleston Park","11820 Reseda Blvd, Northridge","Public","No","Yes","No","4"
494,"Bolsa Chica Park","13660 University St, Westminster","Public","No","Yes","No","3"
495,"Magnolia Park","11402 Magnolia St, Garden Grove","Public","No","Yes","No","2"
503,"Limekiln Canyon Park","10300 Limekiln Canyon Road, Northridge","Public","No","Yes","No","2"
